hashtag,date,n
#climateactioninyourarea,2021-10-25T17,0.0
#climateactioninyourarea,2021-10-25T18,0.0
#climateactioninyourarea,2021-10-25T19,0.0
#climateactioninyourarea,2021-10-25T20,0.0
#climateactioninyourarea,2021-10-25T21,0.0
#climateactioninyourarea,2021-10-25T22,0.0
#climateactioninyourarea,2021-10-25T23,0.0
#climateactioninyourarea,2021-10-26T00,0.0
#climateactioninyourarea,2021-10-26T01,0.0
#climateactioninyourarea,2021-10-26T02,0.0
#climateactioninyourarea,2021-10-26T03,0.0
#climateactioninyourarea,2021-10-26T04,0.0
#climateactioninyourarea,2021-10-26T05,0.0
#climateactioninyourarea,2021-10-26T06,0.0
#climateactioninyourarea,2021-10-26T07,0.08333333333333333
#climateactioninyourarea,2021-10-26T08,0.08333333333333333
#climateactioninyourarea,2021-10-26T09,0.08333333333333333
#climateactioninyourarea,2021-10-26T10,0.0
#climateactioninyourarea,2021-10-26T11,0.0
#climateactioninyourarea,2021-10-26T12,0.0
#climateactioninyourarea,2021-10-26T13,0.0
#climateactioninyourarea,2021-10-26T14,0.0
#climateactioninyourarea,2021-10-26T15,0.0
#climateactioninyourarea,2021-10-26T16,0.0
#climateactioninyourarea,2021-10-26T17,0.0
#climateactioninyourarea,2021-10-26T18,0.0
#climateactioninyourarea,2021-10-26T19,0.0
#climateactioninyourarea,2021-10-26T20,0.0
#climateactioninyourarea,2021-10-26T21,0.0
#climateactioninyourarea,2021-10-26T22,0.0
#climateactioninyourarea,2021-10-26T23,0.0
#climateactioninyourarea,2021-10-27T00,0.0
#climateactioninyourarea,2021-10-27T01,0.0
#climateactioninyourarea,2021-10-27T02,0.6666666666666666
#climateactioninyourarea,2021-10-27T03,0.8933333333333334
#climateactioninyourarea,2021-10-27T04,0.9170000000000001
#climateactioninyourarea,2021-10-27T05,0.37033333333333335
#climateactioninyourarea,2021-10-27T06,0.2803333333333333
#climateactioninyourarea,2021-10-27T07,0.2773333333333334
#climateactioninyourarea,2021-10-27T08,0.22066666666666665
#climateactioninyourarea,2021-10-27T09,0.25066666666666665
#climateactioninyourarea,2021-10-27T10,0.26666666666666666
#climateactioninyourarea,2021-10-27T11,0.22399999999999998
#climateactioninyourarea,2021-10-27T12,0.09733333333333333
#climateactioninyourarea,2021-10-27T13,0.13066666666666668
#climateactioninyourarea,2021-10-27T14,0.15
#climateactioninyourarea,2021-10-27T15,0.10999999999999999
#climateactioninyourarea,2021-10-27T16,0.10999999999999999
#climateactioninyourarea,2021-10-27T17,0.18000000000000002
#climateactioninyourarea,2021-10-27T18,0.3466666666666667
#climateactioninyourarea,2021-10-27T19,0.3166666666666667
#climateactioninyourarea,2021-10-27T20,0.20666666666666667
#climateactioninyourarea,2021-10-27T21,0.04
#climateactioninyourarea,2021-10-27T22,0.11
#climateactioninyourarea,2021-10-27T23,0.11
#climateactioninyourarea,2021-10-28T00,0.11
#climateactioninyourarea,2021-10-28T01,170.0
#climateactioninyourarea,2021-10-28T02,173.66666666666666
#climateactioninyourarea,2021-10-28T03,174.5
#climateactioninyourarea,2021-10-28T04,5.166666666666667
#climateactioninyourarea,2021-10-28T05,1.76
#climateactioninyourarea,2021-10-28T06,1.0733333333333335
#climateactioninyourarea,2021-10-28T07,0.63
#climateactioninyourarea,2021-10-28T08,0.41
#climateactioninyourarea,2021-10-28T09,0.47000000000000003
#climateactioninyourarea,2021-10-28T10,0.3133333333333333
